세그먼트코드,적용시작일자,역명,적용종료일자,이력구분,역일련번호,세그먼트누적거리,최초등록일시,최종변경일시
1406,1900-01-01,평내,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1406,1900-01-01,마석,9999-12-31,신규 ,2,6.4,2011-12-13 00:00,2011-12-13 00:00
1406,1900-01-01,대성리,9999-12-31,신규 ,3,13.8,2011-12-13 00:00,2011-12-13 00:00
1406,1900-01-01,청평,9999-12-31,신규 ,4,21.3,2011-12-13 00:00,2011-12-13 00:00
1406,1900-01-01,상천,9999-12-31,신규 ,5,26.1,2011-12-13 00:00,2011-12-13 00:00
1406,1900-01-01,가평,9999-12-31,신규 ,6,33.2,2011-12-13 00:00,2011-12-13 00:00
1409,1900-01-01,가평,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1409,1900-01-01,경강,9999-12-31,신규 ,2,4.7,2011-12-13 00:00,2011-12-13 00:00
1409,1900-01-01,백양리,9999-12-31,신규 ,3,7.6,2011-12-13 00:00,2011-12-13 00:00
1412,1900-01-01,백양리,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1412,1900-01-01,강촌,9999-12-31,신규 ,2,5.3,2011-12-13 00:00,2011-12-13 00:00
1412,1900-01-01,신남,9999-12-31,신규 ,3,12.7,2011-12-13 00:00,2011-12-13 00:00
1412,1900-01-01,남춘천,9999-12-31,신규 ,4,18.6,2011-12-13 00:00,2011-12-13 00:00
1415,1900-01-01,남춘천,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1415,1900-01-01,춘천,9999-12-31,신규 ,2,2.7,2011-12-13 00:00,2011-12-13 00:00
2100,1900-01-01,금정,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2100,1900-01-01,산본,9999-12-31,신규 ,2,2.3,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,산본,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,수리산역,9999-12-31,신규 ,2,1.1,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,대야미,9999-12-31,신규 ,3,3.7,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,반월,9999-12-31,신규 ,4,5.7,2011-12-13 00:00,2011-12-13 00:00
