G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
25221407,철도차량용연료배관,Rollingstock engine fuel pipe line,객화차와 사고복구기중기 등 특수차량용 엔진에 연료를 공급하는 배관 및 부속품임.,2012-12-19 01:27,Y
25221408,디젤기관차용연료분사변,Diesel locomotive fuel injector,디젤기관의 실린더에 연소에 필요한 연료를 캠샤프트에 의해 작동하는 록카암에 의해 미세하게 분사하여 압축공기와 착화시키는 분사변으로서 기관조속기에 의하여연료의 분사량이 제어됨.,2012-12-19 01:27,Y
25221409,디젤동차용연료분사장치,Diesel rail car injector,"디젤동차 커민스 기관의 실린더 헤드에 취부되어 분사시기에 맞추어 연소실에 연료를 고압으로 분사시켜 주며, 로커 암에 의해 작동함.",2012-12-19 01:27,Y
25221410,디젤동차용연료제어장치,Diesel rail car fuel control device,디젤동차 기관 조속기의 신호를 받아 연료펌프 래크를 움직여 엔진의 연료분사량을 조절하는 전자식 작동기로 래크위치센서(포텐센 미터)를 포함함.,2012-12-19 01:27,Y
25221411,디젤기관차용연료탱크냉각수배관,Diesel locomotive fuel tank cooling water pipe,디젤기관차의 기관에 사용되는 연료저장탱크 및 연료를 예열시키는 냉각수배관으로 부속품을 포함함.,2012-12-19 01:27,Y
25221412,철도차량용연료탱크,Rollingstock engine fuel tank,객화차와 사고복구기중기 등 특수차량용 엔진에 공급하는 연료를 저장하는 탱크로 보조탱크와 부속품을 포함함.,2012-12-19 01:27,Y
25221413,디젤기관차용연료펌프,Diesel locomotive fuel pump,"디젤기관차 기관의 연료분사변에 연료를 공급하여 주는 기어식 펌프로, 연료 모터축에 연결되어 있음.",2012-12-19 01:27,Y
25221414,디젤동차용연료펌프,Diesel rail car fuel pump,"디젤동차 기관의 연료공급펌프에서 이송된 연료를 고압화하고 연료량을 계량하며 분사시기에 맞추어 각 연소실에 연료를 공급하는 역할을 하는 인젝션 펌프로, 플랜저펌프, 캠축, 랙 등으로 구성됨.",2012-12-19 01:27,Y
25221415,철도차량용연료펌프,Rollingstock engine fuel pumps,객화차와 사고복구기중기 등 특수차량용 엔진의 연료탱크에서 연료를 흡입하여 공급관에 연료를 압송하는 펌프로 부속품을 포함함.,2012-12-19 01:27,Y
25221416,난방차용연료펌프,Heating boiler car fuel pump,난방차의 보일러 연소장치에 연료를 압송하는 펌프임.,2012-12-19 01:27,Y
25221417,디젤기관차용연료필터,Diesel locomotive fuel filter,"디젤기관차의 기관에 공급되는 연료중의 불순물을 제거하는 여과기로, 강철재 케이스, 철망, 여과망으로 구성됨.",2012-12-19 01:27,Y
25221418,디젤동차용연료필터,Diesel rail car fuel filter,디젤동차 기관운전 연료의 불순물을 정제시켜주는 필터.,2012-12-19 01:27,Y
25221419,철도차량용연료여과기,Rollingstock engine fuel filter,객화차와 사고복구기중기 등 특수차량용 엔진에 공급되는 연료의 불순물을 여과하는 장치.,2012-12-19 01:27,Y
25221420,디젤동차용PT펌프,Diesel rail car pressure time pump,"디젤동차 커민스 기관의 연료펌프로서, 연료량을 계량하고 적절한 압력으로 각 실린더의 연료 분사장치인 PT(PRESSURE-TIME) 분사기에 연료를 압송하는 펌프이며, 원심식 조속기를 포함.",2012-12-19 01:27,Y
252215,철도차량운전장치,Rolling stock driving equipment,철도차량 운전실내의 제어장치와 부속설비 및 부품.,2012-12-19 01:27,Y
25221501,디젤기관차용역전기,Diesel locomotive reversing gear,"기관차의 진행방향을 변환하기 위한 장치로, 전후진 운전을 위해 운전자가 역전핸들(reversing handle)을 조작하므로서 기관차의 전후진을 결정하는역할을 함.",2012-12-19 01:27,Y
25221502,전동차용운전실장치,Electric rail car cab equipment,"전동차 제어차의 운전실에 설치된 제어패널, 스위치 및 계기류 등 운전제어 보조장치와 햇빛가리개, 커튼, 비상용사다리 등을 포함함.",2012-12-19 01:27,Y
25221503,디젤기관차용운전실장치,Diesel locomotive operator stationg accessory,디젤기관차의 운전제어와 기관사의 운전편의를 위하여 기관실 안에 설치된 설비 및 부품. (제어장치:25220311 는 제외.),2012-12-19 01:27,Y
25221504,전기기관차용운전실장치,Electric locomotive speed cab equipment,전기기관차 운전에 필요한 각종 계기를 설치한 장치.,2012-12-19 01:27,Y
25221505,전기기관차용기계실장치(VVVF형),Electric locomotive equipment room equipment(VVVF),"VVVF형전차의 기계실내에 설치되어 차량구동에 필요로 하는 지령 및 전원을 공급하는 부분으로, 주변환기, 보조전원장치, 송풍기, 냉각기 등 주요기기가 탑재되어 있는 장치임.",2012-12-19 01:27,Y
