그룹코드(GRP_CODE),그룹명칭(GRP_TEXT),그룹코드사용여부(GRP_CODEUSE)
HH010275,규격서(規格書),Y
HH010276,교재,Y
HH010277,운동기구,Y
HH010278,스미스머신,Y
HH010279,타올기,Y
HH010280,기계수입포,Y
HH010281,스펀지,Y
HH010282,페인트롤러,Y
HH010283,접착제,Y
HH010284,와니스,Y
HH010285,합성풀,Y
HH010286,P.V.A,Y
HH010287,마대,Y
HH010288,포장재,Y
HH010289,드럼통,Y
HH010290,톱밥,Y
HH010291,폴리에틸렌필름,Y
HH010292,마스킹테이프,Y
HH010293,생활가전,Y
HH010294,남자근무복(동),Y
HH010295,남자근무복(하),Y
HH010296,남자근무복(성하),Y
HH010297,남자정복(동),Y
HH010298,남자정복(하),Y
HH010299,남자작업복(동),Y
HH0103,제용품,Y
HH010300,남자작업복(하),Y
HH010301,남자작업복(성하),Y
HH010302,잠바,Y
HH010303,방한복,Y
HH010304,기동복,Y
HH010305,남성용모자,Y
HH010306,여자근무복(동),Y
HH010307,여자정복(동),Y
HH010308,블라우스,Y
HH010309,작업복,Y
HH010310,여자정복(하),Y
HH010311,외투,Y
HH010312,치마,Y
HH010313,여성용바지,Y
HH010314,여자근무복(하),Y
HH010315,여자근무복(성하),Y
HH010316,여성용모자,Y
HH010317,보호복,Y
HH010318,헬멧,Y
HH010319,태극기,Y
HH010320,기,Y
HH010321,천연비료,Y
HH010322,내외장재,Y
HH010323,경화제,Y
HH010324,판유리,Y
HH010325,유리섬유,Y
HH010326,흑연,Y
HH010327,도로반사경,Y
HH010328,표찰판,Y
HH010329,표지찰,Y
HH010330,표지류,Y
HH010331,가마니,Y
HH010332,감열지,Y
HH010333,강널말뚝,Y
HH010334,강설,Y
HH010335,개인용소형가방,Y
HH010336,개폐기조작봉,Y
HH010337,객차,Y
HH010338,건조기,Y
HH010339,계전기,Y
HH010340,고무마운트,Y
HH010341,공기압축기,Y
HH010342,공기여과기,Y
HH010343,광학식디스크,Y
HH010344,광학유리,Y
HH010345,구두,Y
HH010346,낫,Y
HH010347,냉각기유체,Y
HH010348,냉방기,Y
HH010349,넥타이,Y
HH010350,노즐,Y
HH010351,다짐틀스페이서,Y
HH010352,다짐틀슬리브,Y
HH010353,다짐판지지핀,Y
HH010354,단추장식,Y
HH010356,동설,Y
HH010357,들것,Y
HH010358,디젤기관차,Y
HH010359,레일기중기,Y
HH010360,링,Y
HH010361,마니라판지,Y
HH010362,명찰,Y
HH010363,모우터카,Y
HH010364,모자,Y
HH010365,박리제,Y
HH010366,박스,Y
HH010367,방한화,Y
HH010368,버클,Y
HH010370,베일,Y
HH010372,부싱,Y
HH010373,사진촬영용필터,Y
HH010374,샷터릴리스,Y
HH010375,수첩,Y
HH010376,스카프,Y
HH010377,스테인레스설물,Y
HH010378,스테인리스리벳,Y
HH010379,스트레이너,Y
HH010380,스티커,Y
HH010381,스페이서,Y
HH010382,스프링,Y
HH010383,스프링조임용,Y
HH010384,승차권,Y
HH010385,승차권자동개집표기부품,Y
HH010082,공기시린더,Y
HH010083,압축기,Y
HH010084,축전지,Y
HH010085,지게차부품,Y
HH010086,호이스트,Y
HH010087,작업차,Y
HH010088,의자부품,Y
HH010089,타이어,Y
HH010090,자전거및리어카용튜브,Y
HH010091,펌프,Y
HH010092,연료여과기,Y
HH010093,전동기,Y
HH010094,전자변,Y
HH010095,공기청정기엘리먼트,Y
HH010096,감속기,Y
HH010097,체인,Y
HH010098,풀리공구,Y
HH010099,벨트,Y
HH0101,제용품,Y
HH010100,원격제어레버,Y
HH010101,브레이크류,Y
HH010102,베어링,Y
HH010103,샌딩기계,Y
HH010104,대패,Y
HH010105,루우터,Y
HH010106,톱,Y
HH010107,톱날,Y
HH010108,숫돌,Y
HH010109,감지센서,Y
HH010110,절삭기,Y
HH010111,용접용품,Y
HH010112,토치램프,Y
HH010113,용접봉,Y
HH010114,밴딩기,Y
HH010115,연삭기,Y
HH010116,밀링,Y
HH010117,커터,Y
HH010118,렌치,Y
HH010119,잭,Y
HH010120,드릴,Y
HH010121,발매자동화설비,Y
HH010122,리본,Y
HH010123,조절기,Y
HH010124,삽,Y
HH010125,가위,Y
HH010126,분무기,Y
HH010127,노면절단기,Y
HH010128,버킷컨베이어,Y
HH010129,체인컨베이어,Y
HH010130,리프터,Y
HH010131,방열기,Y
HH010132,볼트너트와셔,Y
HH010133,의자,Y
HH010134,조명(등),Y
HH010135,패킹,Y
HH010136,슬링,Y
HH010137,줄(로프),Y
HH010138,조명(기구),Y
HH010139,적재판,Y
HH010140,연결이음구,Y
HH010141,수액기,Y
HH010142,디퓨져,Y
HH010143,리듀우서,Y
HH010144,개인보호구,Y
HH010145,정화장치,Y
HH010146,공기호흡기,Y
HH010147,응급구조용부목,Y
HH010148,밸브변콕크,Y
HH010149,공기정화기,Y
HH010150,부싱,Y
HH010151,교반기,Y
HH010152,보일러,Y
HH010153,집진장치,Y
HH010154,관재류,Y
HH010155,세척기,Y
HH010156,고무호스,Y
HH010157,호스릴,Y
HH010158,비닐호스,Y
HH010159,금긋기공구,Y
HH010160,충전기,Y
HH010161,주입기기,Y
HH010162,도장도구,Y
HH010163,공구잡화,Y
HH010164,끌,Y
HH010165,정,Y
HH010166,줄,Y
HH010167,줄(공구),Y
HH010168,쇠톱날,Y
HH010169,니퍼,Y
HH010170,플라이어,Y
HH010171,스크레이퍼,Y
HH010172,스트리퍼,Y
HH010173,펜치,Y
HH010174,블레이드커터,Y
HH010175,퍼티나이프,Y
HH010176,못뽑기(공구),Y
HH010177,거울,Y
HH010178,드라이버,Y
HH010179,비트,Y
HH010180,브러쉬공구,Y
HH010181,리벳터,Y
HH010182,소켓아답타,Y
HH010183,부침기,Y
