역명,물류시설일련번호,지역본부명,구역구분명,설치일자,운용개시일자,조성일자,기부채납일자,사용시작일자,사용종료일자,무상사용시작일자,무상사용종료일자,시설자산여부,시설자산사용면적수,시설자산전체면적수,운영자산여부,운영자산사용면적수,운영자산전체면적수,기타자산여부,기타자산사용면적수,기타자산전체면적수,부지사용면적수,부지전체면적수,연간사용요금내역,연간수입내역,연간적정수송면적수,최초등록일시,최종변경일시,최대작업수량,작업선유효장
의왕,7,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,27523,27523,N,,,27523,27523,,1695000000,17866,2011-09-01 00:00,2011-09-01 00:00,,
의왕,8,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,54161,54161,N,,,54161,54161,,3352000000,35156,2011-09-01 00:00,2011-09-01 00:00,,
의왕,9,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,40313,40313,N,,,40313,40313,,2000000000,29075,2011-09-01 00:00,2011-09-01 00:00,,
의왕,10,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,46065,46065,N,,,46065,46065,,5892000000,29901,2011-09-01 00:00,2011-09-01 00:00,,
의왕,11,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,13649,13649,N,,,13649,13649,,2074,8860,2011-09-01 00:00,2011-09-01 00:00,,
의왕,12,수도권서부본부,제2터미널,,1997-01-01,,,1997-01-01,9999-12-31,,,N,,,Y,62808,62808,N,,,62808,62808,,85000000,40769,2011-09-01 00:00,2011-09-01 00:00,,
의왕,13,수도권서부본부,제2터미널,,1997-01-01,,,1997-01-01,9999-12-31,,,N,,,Y,5864,5864,N,,,5864,5864,,400000000,3807,2011-09-01 00:00,2011-09-01 00:00,,
의왕,14,수도권서부본부,제2터미널,,1997-01-01,,,1997-01-01,9999-12-31,,,N,,,Y,42594,42594,N,,,42594,42594,,1387000000,27648,2011-09-01 00:00,2011-09-01 00:00,,
의왕,15,수도권서부본부,제2터미널,,1997-01-01,,,1997-01-01,9999-12-31,,,N,,,Y,19388,19388,N,,,19388,19388,,4543000000,12585,2011-09-01 00:00,2011-09-01 00:00,,
의왕,16,수도권서부본부,제2터미널,,1997-01-01,,,1997-01-01,9999-12-31,,,N,,,Y,14387,14387,N,,,14387,14387,,989000000,9336,2011-09-01 00:00,2011-09-01 00:00,,
청주,1,대전충남본부,,,1995-09-19,,,1995-09-19,2015-08-21,,,N,,,Y,8942,8942,N,,,8942,8942,,1194000000,30,2011-09-01 00:00,2011-09-01 00:00,,
의왕,17,수도권서부본부,,,2007-01-15,,,2007-01-15,9999-12-31,,,N,,,Y,7345,7345,N,,,7345,7345,,800000000,26,2011-09-01 00:00,2011-09-01 00:00,,
아포,2,대구본부,,,1998-07-13,,,1998-07-13,2011-05-31,,,N,,,Y,,4516,N,,,,4516,,,15180,2012-01-11 14:05,2012-01-11 14:05,,
괴동,1,대구본부,,,2009-09-01,,,2009-09-01,9999-12-31,,,N,,,0,,,Y,,12740,,12740,,,80,2012-01-11 14:22,2016-08-08 10:45,,
대지청,2,강원본부,,,,,2011-12-09,2011-12-02,2000-12-31,,,0,,,0,,,0,,,,,,,,2011-12-02 15:22,2011-12-02 15:24,,
괴동,1,대구본부,,,,2008-12-01,,2008-12-01,9999-12-31,,,0,,,0,,6495,0,,,6495,6495,37000000,,,2012-01-11 14:28,2016-08-08 14:50,,
괴동,2,대구본부,,,,2008-02-01,,2008-02-01,9999-12-31,,,0,,,0,,6578,0,,,6578,6578,4190890,,,2012-01-11 14:29,2016-08-15 08:31,,
괴동,3,대구본부,,,,2009-02-01,,2009-02-01,9999-12-31,,,0,,,0,,8473,0,,,8473,8473,70000000,,,2012-01-11 14:33,2012-01-11 15:21,,
괴동,4,대구본부,,,,2000-07-01,,2000-07-01,9999-12-31,,,0,,,0,,3156,0,,,3156,3156,,,,2012-01-11 14:41,2012-01-11 15:21,,
가천,1,대구본부,,2008-11-11,,,,2008-11-11,9999-12-31,,,0,,,0,,,0,,,,,"사유지,전용선",,,2012-01-11 15:28,2012-01-11 15:35,,
김천,1,대구본부,,,,1974-01-01,,1974-01-01,2016-08-10,,,0,,,0,,,0,,,0,12219,,,,2012-01-11 15:49,2016-08-10 13:11,15,213
조치원,1,대전충남본부,,,,1988-01-01,,2012-01-01,2012-12-31,,,,,,,,,,,,2000,20165,,4982400,,2012-06-22 14:12,2012-06-22 14:12,,
물금,1,부산경남본부,,,,,,2013-01-18,2013-01-17,,,,,,,,,,,,,,,,,2013-01-17 15:07,2013-01-17 15:07,,
물금,2,부산경남본부,,,,,,2013-01-17,2013-01-17,,,,,,,,,,,,224,224,,,,2013-01-17 15:09,2013-01-17 15:09,,
